Unnamed: 0,id,date,store_nbr,family,sales,onpromotion,holiday_type,locale,locale_name,description,transferred,dcoilwtico,city,state,store_type,cluster,transactions,year,month,week,quarter,day_of_week
387473,380345,2013-08-02,30,LAWN AND GARDEN,0.0,0,,,,,,106.94,Guayaquil,Guayas,C,3,767.0,2013,8,31,3,Friday
991894,976196,2014-07-03,49,MAGAZINES,4.0,0,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,104.76,Quito,Pichincha,A,11,2425.0,2014,7,27,3,Thursday
1111061,1095023,2014-09-08,33,HOME APPLIANCES,0.0,0,,,,,,92.64,Quevedo,Los Rios,C,3,1155.0,2014,9,37,3,Monday
685215,676305,2014-01-16,35,BEVERAGES,946.0,0,,,,,,93.54,Playas,Guayas,C,3,611.0,2014,1,3,1,Thursday
779053,770143,2014-03-10,18,"LIQUOR,WINE,BEER",17.0,0,,,,,,101.39,Quito,Pichincha,B,16,1383.0,2014,3,11,1,Monday
182825,182825,2013-04-13,39,BREAD/BAKERY,826.0,0,,,,,,,Cuenca,Azuay,B,6,1658.0,2013,4,15,2,Saturday
536505,529377,2013-10-25,12,MEATS,145.134,0,,,,,,97.4,Latacunga,Cotopaxi,C,15,1128.0,2013,10,43,4,Friday
847685,838775,2014-04-17,43,HARDWARE,3.0,0,,,,,,104.33,Esmeraldas,Esmeraldas,E,10,1439.0,2014,4,16,2,Thursday
582246,575118,2013-11-19,45,PLAYERS AND ELECTRONICS,0.0,0,,,,,,93.35,Quito,Pichincha,A,11,2920.0,2013,11,47,4,Tuesday
1244809,1228771,2014-11-22,36,HOME AND KITCHEN II,11.0,0,,,,,,,Libertad,Guayas,E,10,1043.0,2014,11,47,4,Saturday
601405,594277,2013-11-30,33,GROCERY II,7.0,0,,,,,,,Quevedo,Los Rios,C,3,1204.0,2013,11,48,4,Saturday
1168605,1152567,2014-10-10,48,DELI,861.748,62,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,False,85.87,Quito,Pichincha,A,14,3808.0,2014,10,41,4,Friday
799183,790273,2014-03-21,32,"LIQUOR,WINE,BEER",102.0,0,,,,,,99.97,Guayaquil,Guayas,C,3,596.0,2014,3,12,1,Friday
880366,871456,2014-05-06,10,PERSONAL CARE,234.0,0,,,,,,99.81,Quito,Pichincha,C,15,1166.0,2014,5,19,2,Tuesday
664171,655261,2014-01-04,44,GROCERY II,136.0,0,,,,,,,Quito,Pichincha,A,5,5341.0,2014,1,1,1,Saturday
1161075,1145037,2014-10-06,37,BEVERAGES,3014.0,3,,,,,,90.33,Cuenca,Azuay,D,2,1520.0,2014,10,41,4,Monday
495581,488453,2013-10-02,14,LAWN AND GARDEN,0.0,0,,,,,,104.15,Riobamba,Chimborazo,C,7,1522.0,2013,10,40,4,Wednesday
857338,848428,2014-04-23,14,SCHOOL AND OFFICE SUPPLIES,0.0,0,,,,,,101.47,Riobamba,Chimborazo,C,7,1557.0,2014,4,17,2,Wednesday
1289701,1273663,2014-12-17,45,POULTRY,1228.2891,1,,,,,,56.43,Quito,Pichincha,A,11,4645.0,2014,12,51,4,Wednesday
592747,585619,2013-11-25,40,BABY CARE,0.0,0,,,,,,93.86,Machala,El Oro,C,3,1240.0,2013,11,48,4,Monday
540674,533546,2013-10-27,3,BEAUTY,7.0,0,,,,,,,Quito,Pichincha,D,8,3616.0,2013,10,43,4,Sunday
117316,117316,2013-03-07,50,BABY CARE,0.0,0,,,,,,91.53,Ambato,Tungurahua,A,14,2197.0,2013,3,10,1,Thursday
425988,418860,2013-08-24,11,MEATS,511.844,0,Holiday,Local,Ambato,Fundacion de Ambato,False,,Cayambe,Pichincha,B,6,2541.0,2013,8,34,3,Saturday
592042,584914,2013-11-25,20,"LIQUOR,WINE,BEER",0.0,0,,,,,,93.86,Quito,Pichincha,B,6,,2013,11,48,4,Monday
219854,219854,2013-05-04,28,DAIRY,247.0,0,,,,,,,Guayaquil,Guayas,E,10,1234.0,2013,5,18,2,Saturday
427994,420866,2013-08-25,18,HOME APPLIANCES,0.0,0,,,,,,,Quito,Pichincha,B,16,1259.0,2013,8,34,3,Sunday
852613,843703,2014-04-20,31,PERSONAL CARE,234.0,0,,,,,,,Babahoyo,Los Rios,B,10,1381.0,2014,4,16,2,Sunday
19082,19082,2013-01-11,44,DAIRY,1386.0,0,,,,,,93.6,Quito,Pichincha,A,5,3873.0,2013,1,2,1,Friday
1505823,1486221,2015-04-17,10,AUTOMOTIVE,5.0,0,,,,,,55.71,Quito,Pichincha,C,15,803.0,2015,4,16,2,Friday
1476035,1456433,2015-03-31,24,FROZEN FOODS,149.875,1,,,,,,47.72,Guayaquil,Guayas,D,1,2389.0,2015,3,14,1,Tuesday
