Unnamed: 0,id,date,store_nbr,family,sales,onpromotion,holiday_type,locale,locale_name,description,transferred,dcoilwtico,city,state,store_type,cluster,transactions,year,month,week,quarter,day_of_week
3032487,2979027,2017-08-03,45,HOME CARE,535.0,9,,,,,,49.03,Quito,Pichincha,A,11,3598.0,2017,8,31,3,Thursday
2765954,2719622,2017-03-11,17,PET SUPPLIES,4.0,0,,,,,,,Quito,Pichincha,C,12,1662.0,2017,3,10,1,Saturday
1826113,1801165,2015-10-10,46,PERSONAL CARE,944.0,1,,,,,,,Quito,Pichincha,A,14,4227.0,2015,10,41,4,Saturday
2039935,2013205,2016-02-07,46,CLEANING,2594.0,0,,,,,,,Quito,Pichincha,A,14,3392.0,2016,2,5,1,Sunday
2131706,2104976,2016-03-30,21,BREAD/BAKERY,267.0,0,,,,,,36.91,Santo Domingo,Santo Domingo de los Tsachilas,B,6,732.0,2016,3,13,1,Wednesday
2177540,2149028,2016-04-23,8,BEAUTY,10.0,0,Event,National,Ecuador,Terremoto Manabi+7,False,,Quito,Pichincha,D,8,3001.0,2016,4,16,2,Saturday
2161301,2134571,2016-04-15,50,SEAFOOD,25.284,6,,,,,,40.4,Ambato,Tungurahua,A,14,2313.0,2016,4,15,2,Friday
2301575,2262371,2016-06-26,37,MAGAZINES,10.0,0,,,,,,,Cuenca,Azuay,D,2,1094.0,2016,6,25,2,Sunday
1527247,1507645,2015-04-29,11,CLEANING,1634.0,3,,,,,,58.55,Cayambe,Pichincha,B,6,1887.0,2015,4,18,2,Wednesday
1996911,1970181,2016-01-14,39,HOME AND KITCHEN I,13.0,0,,,,,,31.22,Cuenca,Azuay,B,6,1208.0,2016,1,2,1,Thursday
2666868,2620536,2017-01-14,37,CELEBRATION,17.0,0,,,,,,,Cuenca,Azuay,D,2,1603.0,2017,1,2,1,Saturday
1563959,1544357,2015-05-19,40,MAGAZINES,1.0,0,,,,,,57.3,Machala,El Oro,C,3,1483.0,2015,5,21,2,Tuesday
